,team_depth_1,score_depth_1,team_depth_2,score_depth_2,team_depth_3,score_depth_3,team_depth_4,score_depth_4,team_depth_5,score_depth_5,team_depth_6,score_depth_6,team_depth_7,score_depth_7,team_depth_8,score_depth_8,team_depth_9,score_depth_9,team_depth_10,score_depth_10
103, Oregon,0.2727272727272727, Bowling_Green,0.340495867768595, Bowling_Green,0.3623027798647632, Bowling_Green,0.3691799628078738, Bowling_Green,0.3714797279477179, Bowling_Green,0.3722420519156275, Bowling_Green,0.3724933945224923, Bowling_Green,0.3725768155884788, Bowling_Green,0.372604482198262, Bowling_Green,0.37261364105471706
104, Ball_St,0.2727272727272727, Iowa_St,0.33884297520661155, Iowa_St,0.35889248492554265, Iowa_St,0.36509551063024465, Iowa_St,0.3673784499019083, Iowa_St,0.3681545566148487, Iowa_St,0.368417385168478, Iowa_St,0.3685055102805757, Iowa_St,0.3685350417108259, Iowa_St,0.3685449218954339
105, Bowling_Green,0.2727272727272727, Tulane,0.33539944903581265, Tulane,0.355225811837382, Tulane,0.36147847712226006, Tulane,0.3635864657592502, Tulane,0.3642951050826203, Tulane,0.3645331143896761, Tulane,0.3646120710063936, Tulane,0.36463805511376085, Tulane,0.36464656180531835
106, UTEP,0.2727272727272727, San_Jose_St,0.3305785123966942, ULM,0.3514034175191199, ULM,0.35859390341561065, ULM,0.36110982090046123, ULM,0.3619581949064939, ULM,0.3622407554003097, ULM,0.362334821672934, ULM,0.36236591522247374, ULM,0.36237611719190205
107, Oregon_St,0.2727272727272727, ULM,0.3305785123966942, San_Jose_St,0.34346645090446737, San_Jose_St,0.3482542809249163, San_Jose_St,0.3498675531765112, San_Jose_St,0.35041256450957636, San_Jose_St,0.3505905197255169, San_Jose_St,0.35064819516741563, San_Jose_St,0.3506669138961429, San_Jose_St,0.350673006521129
108, New_Mexico_St,0.25, Ball_St,0.3223140495867768, Ball_St,0.3365890308039067, Ball_St,0.34146627227017895, Ball_St,0.3430784296786265, Ball_St,0.343605826035214, Ball_St,0.34377541570156583, Ball_St,0.3438307914496098, Ball_St,0.34384912566442943, Ball_St,0.34385520784533924
109, Kent,0.2, Buffalo,0.2644628099173554, Buffalo,0.29250033712843604, Buffalo,0.3019293182335721, Buffalo,0.3048959216956399, Buffalo,0.30584535119605244, Buffalo,0.3061553785321614, Buffalo,0.30625869699400704, Buffalo,0.30629331147941513, Buffalo,0.3063048661147624
110, Virginia,0.18181818181818182, Kent,0.2598484848484849, Kent,0.2849584127993218, Kent,0.29358641912877376, Kent,0.2965509804005242, Kent,0.2975289760532614, Kent,0.2978563434107528, Kent,0.29796525731046325, Kent,0.29800130187118296, Kent,0.2980131620971849
111, Rice,0.18181818181818182, Arizona,0.2568340750158933, Arizona,0.2832023348552272, Arizona,0.29186111332270964, Arizona,0.29467645304083084, Arizona,0.29561389867817606, Arizona,0.295919994198579, Arizona,0.29602042205245616, Arizona,0.29605357976000124, Arizona,0.296064561056119
112, Arizona,0.18181818181818182, Marshall,0.2513774104683195, Virginia,0.2728464717101081, Virginia,0.28325564237707446, Virginia,0.2871321691771494, Virginia,0.2885041141186511, Virginia,0.2889810629849415, Virginia,0.2891440461978376, Virginia,0.28919897264992606, Virginia,0.2892172430135324
